id,name,total_ratings,stars,genres,imdb_link,tmdb_link,description,release_year,label,duration,languages,directors,cast,img_link
629,Rude,29,3.14,"['Drama', 'Crime']",https://www.imdb.com/title/tt0114305,https://www.themoviedb.org/movie/166901,"This is the Easter weekend. In an inner city project, three people struggle against their demons and try to find redemption. They are Maxine, a window dresser depressed since she had an abortion and lost her lover ; Jordan, a boxer who has indulged in gay-bashing ; and 'The General', a drug dealer turned artist.",1995,,89 minutes,['English'],['Clement Virgo'],"['Maurice Dean Wint', 'Rachael Crawford', 'Clark Johnson', 'Richard Chevolleau', 'Sharon Lewis', 'Melanie Nicholls-King', 'Stephen Shellen', 'Gordon Michael Woolvett', 'Dayo Ade', 'Dean Marshall', 'Ashley Brown', 'Andy Marshall', 'Falconer Abraham', 'Junior Williams', 'Andrew Moodie', 'Nicole Parker', 'Michael Greyeyes', 'Ramiah Hylton', 'Xuan Fraser', 'Thomas Mitchell', 'Joel Gordon', 'Conrad Coates', 'Clifton Joseph', 'Karen Robinson', 'Alison Sealy-Smith', 'David Berni', 'Bongo']",https://image.tmdb.org/t/p/original/nttazok4JqCpz5hpeD10qp1ztHH.jpg
630,Carried Away,239,3.35,"['Drama', 'Romance']",https://www.imdb.com/title/tt0115837,https://www.themoviedb.org/movie/36447,"Based on Jim Harrison's book, ""Farmer"". 47-year-old Joseph Svenden lives on the family farm with his dying mother and teaches at a two room schoolhouse with Rosealee, his lover and his best friend's widow. Joseph, who lacks a college degree, learns that he will lose his teaching job at the end of the year when the school district expands into his town. Meanwhile, he is seduced by 17-year-old Catherine, a new student in his class. His affair with Catherine and losing his teaching job forces Joseph to take a look at his previously dull life and to decide how he wants to live the rest of it.",1996,R,109 minutes,['English'],['Bruno Barreto'],"['Dennis Hopper', 'Amy Irving', 'Amy Locane', 'Julie Harris', 'Gary Busey', 'Hal Holbrook', 'Christopher Pettiet', 'Priscilla Pointer', 'Gail Cronauer', 'Joe Stevens', 'Connie Cooper', 'Eleese Lester', 'Doug Jackson', 'Todd Duffey']",https://image.tmdb.org/t/p/original/mwZJ3W1V2UAS8JhxrDqtltyNOIJ.jpg
631,All Dogs Go to Heaven 2,2718,2.75,"['Romance', 'Animation', 'Family', 'Adventure', 'Fantasy']",https://www.imdb.com/title/tt0115509,https://www.themoviedb.org/movie/19042,"Charlie and Itchy return to Earth to find Gabriel's Horn, but along the way meet up with a young boy named David, who ran away from home.",1996,G,82 minutes,['English'],"['Paul Sabella', 'Larry Leker']","['Charlie Sheen', 'Dom DeLuise', 'Adam Wylie', 'Sheena Easton', 'Ernest Borgnine', 'George Hearn', 'Bebe Neuwirth', 'Hamilton Camp', 'Steve Mackall', 'Dan Castellaneta', 'Tony Jay', 'Jim Cummings', 'Wallace Shawn', 'Kevin Michael Richardson', 'Pat Corley', 'Maurice LaMarche']",https://image.tmdb.org/t/p/original/32pMUuElbM2dvgpjKAHzCVhkpVt.jpg
632,Land and Freedom,461,3.93,"['War', 'Drama', 'History']",https://www.imdb.com/title/tt0114671,https://www.themoviedb.org/movie/38884,"David Carr is a British Communist who is unemployed. In 1936, when the Spanish Civil War begins, he decides to fight for the Republican side, a coalition of liberals, communists and anarchists, so he joins the POUM militia and witnesses firsthand the betrayal of the Spanish revolution by Stalin's followers and Moscow's orders.",1995,,109 minutes,"['English', 'Català', 'Español']",['Ken Loach'],"['Ian Hart', 'Rosana Pastor', 'Frédéric Pierrot', 'Icíar Bollaín', 'Tom Gilroy', 'Angela Clarke', 'Eoin McCarthy', 'Suzanne Maddock', 'Jordi Dauder', 'Pep Molina', 'Mandy Walsh', 'Miguel Cabrillana', 'Francesc Orella', 'Daniel Muñoz']",https://image.tmdb.org/t/p/original/1OtoirUhdmGUSaByskZRSODNMrM.jpg
633,Denise Calls Up,351,3.39,['Comedy'],https://www.imdb.com/title/tt0112844,https://www.themoviedb.org/movie/47449,"A group of friends in New York, working away at their PCs and laptops, keep in touch exclusively by phone and fax. They are all too busy to meet face to face. Gale plays matchmaker, by phone, to Jerry and Barbara who, in turn, hit it off beautifully – via phone and fax. Martin gets a telephone call from someone he's never met. It's Denise, with some extraordinary news. Tapping away at his computer all the while, he develops a sort of friendship with Denise – via phone. And so it goes as the friends, tap, tap, tapping away, share news, hopes, and dreams – via phone and fax. Finally Gale has an unfortunate encounter with a phone, Denise has some more news for Martin, and Frank plans a gala New Year's Eve party, but will he answer the door?",1995,,80 minutes,['English'],['Hal Salwen'],"['Tim Daly', 'Caroleen Feeney', 'Dan Gunther', 'Dana Wheeler-Nicholson', 'Liev Schreiber', 'Aida Turturro', 'Alanna Ubach', 'Sylvia Miles', 'Mark Blum']",
634,Theodore Rex,382,2.24,"['Fantasy', 'Science Fiction', 'Family', 'Comedy']",https://www.imdb.com/title/tt0114658,https://www.themoviedb.org/movie/36259,"In an alternate futuristic society, a tough female police detective is paired with a talking dinosaur to find the killer of dinosaurs and other prehistoric animals leading them to a mad scientist bent on creating a new Armageddon.",1995,PG,92 minutes,['English'],['Jonathan R. Betuel'],"['Whoopi Goldberg', 'Armin Mueller-Stahl', 'Juliet Landau', 'Bud Cort', 'Stephen McHattie', 'George Newbern', 'Carol Kane', 'Richard Roundtree', 'Jack Riley', 'Peter MacKenzie', 'Joe Dallesandro', 'Tony T. Johnson', 'Susie Coelho', 'Peter Kwong', 'Edith Diaz', 'Robert Martin Robinson', 'Dee Booher', 'William Boyett', 'Marius Mazmanian', 'Noon Orsatti', 'Hilary Shepard', 'Lisa Papatzimas', 'Michael Sharrett', 'Jan Rabson', 'Charles Chiodo', 'Patricia Healy', 'James Murray', 'Stephen Chiodo', 'Edward Chiodo', 'Pons Maar', 'Rodger Bumpass', 'Anne Lockhart', 'Billy Bowles', 'Mickie McGowan', 'Jennifer Darling', 'Patrick Pinney', 'Denise Dowse', 'Phil Proctor', 'Bill Farmer', 'Sherry Lynn']",https://image.tmdb.org/t/p/original/71BTsB16aNZrbidjrV6eLwWGdh2.jpg
635,A Family Thing,1180,3.64,"['Comedy', 'Drama']",https://www.imdb.com/title/tt0116275,https://www.themoviedb.org/movie/41852,"Earl Pilcher Jr. runs an equipment rental outfit in Arkansas, lives with his wife and kids and parents, and rarely takes off his gimme cap. His mother dies, leaving a letter explaining he's not her natural son, but the son of a Black woman who died in childbirth; plus, he has a half brother Ray, in Chicago, she wants him to visit. Earl makes the trip, initially receiving a cold welcome from Ray and Ray's son, Virgil. His birth mother's sister, Aunt T., an aged and blind matriarch, takes Earl in tow and insists that the family open up to him.",1996,PG-13,109 minutes,['English'],['Richard Pearce'],"['Robert Duvall', 'James Earl Jones', 'Michael Beach', 'Irma P. Hall', 'Grace Zabriskie', 'Regina Taylor', 'David Keith', 'Jacqueline Williams', 'Mary Jackson', 'Paula Marshall', 'Phillip Edward Van Lear', 'Meg Thalken', 'Richard Lexsee', 'Xander Berkeley', 'James N. Harrell', 'Lauren Leigh Phillips', 'Ashleigh Jordan', 'Sandra Quarterman', 'Rufus Thomas', 'Reggie Hayes']",https://image.tmdb.org/t/p/original/yNR0PhcReNTh2rs9FVo3gpL6wsJ.jpg
636,Frisk,41,2.94,"['Drama', 'Thriller', 'Crime', 'Horror']",https://www.imdb.com/title/tt0113122,https://www.themoviedb.org/movie/40926,"A first person narrative of the exploits of a gay serial killer in deeply disturbing, controversial drama about violence, sexuality, and the imagination. Dennis, the main character, whose lead we follow on this path between what is real and what we can only hope is surreal. His friends attempt to determine if he's truly a psychopath.",1996,,88 minutes,['English'],['Todd Verow'],"['Michael Gunther', 'Craig Chester', 'Michael Stock', ""Raoul O'Connell"", 'Jaie Laplante', 'Parker Posey', 'James Lyons', 'Alexis Arquette', 'Michael Waite', 'Alyssa Wendt', 'Mark Ewert', 'Dustin Schell', 'Michael Wilson', 'Paul B. Riley', 'Donald Mosner', 'James Mackay', 'Brook Dillon', 'Kimberly MacInnis', 'Edward Zold', 'Sean Bumgarner', 'Karl Birmingham', 'Joseph Smith', 'Todd Verow', 'Bonnie Dickenson', 'David Webb', 'Frankie Payne', 'Damian Roberts', 'Mark Miller', 'B.J. Calnor', 'Howard Pope', 'Terry B. Seiler', 'Kevin Masters', 'Robin Gurney', 'Joan Jett Black', 'Timothy Innes', 'Eric Sapp', 'Roberto Friedman', 'Joshua Tager', 'Tyler Ingolin', 'Martin E. Holton', 'Jim Davis', 'Flynn Hastings', 'Eóin Waxel', 'Laurel Waco', 'Matthew Landis', 'Andrew M. Bourn', 'Glenn Goltz', 'Peter Searle', 'Dennis Cooper', 'Eric Dekker', 'Mark Finch', 'Nathan Melendres', 'Jason Rail', 'Tonia Kohl', 'Bill Zindel', 'Lea Rude', 'Daniel Boyle', 'Michael Now']",https://image.tmdb.org/t/p/original/3cTGzSMt0bTifoCBRWV3yG3IQ3m.jpg
637,Sgt. Bilko,7085,2.84,['Comedy'],https://www.imdb.com/title/tt0117608,https://www.themoviedb.org/movie/9099,The US army is known for churning out lean mean fighting machines intent on protecting our great nation. Sergeant Ernie Bilko is the leader of a ragtag group of the sorriest soldiers ever to enlist in the armed forces.,1996,PG,90 minutes,['English'],['Jonathan Lynn'],"['Steve Martin', 'Dan Aykroyd', 'Phil Hartman', 'Glenne Headly', 'Daryl Mitchell', 'Chris Rock', 'Mitchell Whitfield', 'Eric Edwards', 'Austin Pendleton', 'Debra Jo Rupp', 'Max Casella', 'Richard Herd', 'Dan Ferro', 'Brian Leckner', 'John Ortiz', 'Cathy Silvers', 'Pamela Adlon', 'John Marshall Jones', 'Steve Park', 'Steve Kehela', 'Dale Dye', 'Rance Howard', 'Charles C. Stevenson Jr.', 'Christopher Paul Hart', 'Clifton Collins Jr.']",https://image.tmdb.org/t/p/original/kv6tpMykekRKAiktXJKffAIpdH8.jpg
638,Jack & Sarah,621,3.29,"['Comedy', 'Drama', 'Romance']",https://www.imdb.com/title/tt0113448,https://www.themoviedb.org/movie/2021,"Jack always lands on his feet. He lands on his feet when he marries the beautiful Sarah. He lands on his feet when he buys a luxurious new home. However, when Sarah goes into labour, he takes a tumble down the stairs and lands on his head. When he comes around he discovers he is the proud father of a baby girl, but deficient in the spouse department to the tune of 1.",1995,,110 minutes,['English'],['Tim Sullivan'],"['Richard E. Grant', 'Samantha Mathis', 'Judi Dench', 'Eileen Atkins', 'Cherie Lunghi', 'Imogen Stubbs', 'David Swift', 'Kate Hardie', 'Laurent Grévill', 'Ian McKellen', 'Niven Boyd', 'Lorraine Ashbourne', 'Deborah Findlay', 'Tracy Thorne', 'John Grillo', 'Claire Toeman', 'Geff Francis', 'Richard Leaf', 'Andrew Read', 'David J. Nicholls', 'Susie McKenna']",https://image.tmdb.org/t/p/original/2LDY0auGo25vERpruG5PV9I1OMJ.jpg
639,Girl 6,1228,2.93,"['Comedy', 'Drama']",https://www.imdb.com/title/tt0116414,https://www.themoviedb.org/movie/61752,A struggling actress in New York City takes a job as a phone sex operator.,1996,R,108 minutes,['English'],['Spike Lee'],"['Theresa Randle', 'Isaiah Washington', 'Spike Lee', 'Jenifer Lewis', 'Debi Mazar', 'Peter Berg', 'Michael Imperioli', 'Dina Pearlman', 'Maggie Rush', 'Desi Moreno', 'Kristen Wilson', 'K Funk', 'Debra Wilson', 'Naomi Campbell', 'Gretchen Mol', 'Shari Freels', 'Richard Belzer', 'Larry Pine', 'Coati Mundi', 'Delilah Cotto', 'Anthony Nocerino', 'Thomas Jefferson Byrd', 'Bray Poor', 'Joseph Lyle Taylor', 'Madonna', 'Arthur J. Nascarella', 'John Turturro', 'Quentin Tarantino', 'Ron Silver', 'Mica Hughes', 'Leonard L. Thomas', 'Joie Lee', 'Rolonda Watts', 'Carol Mayo Jenkins', 'Jim Jensen', 'Halle Berry', 'Jacqueline McAllister', 'Novella Nelson', 'Billie Neal', 'Susan Batson', 'Ranjit Chowdhry', 'Rita Wolf', 'Andrea Navedo', 'Lesley-Camille Troy', 'Michele Kelly', 'Yohan Lim', 'Anne Ok', 'John Cameron Mitchell', 'Keith Randolph Smith', 'Nelson Vasquez', 'Al Palagonia', 'Jeff Ward', 'Chuck Jeffreys', 'Andy Duppin', 'Jalil Jay Lynch', 'David S. Lomax', 'Carlo Vogel', 'Brian Konowal', 'Jennifer Ramos', 'Jennifer Karen Lee', 'Tomoko Hagane', 'Jennifer Ceballos', 'Marita de Lara', 'Mekhi Phifer']",https://image.tmdb.org/t/p/original/wfX5aEsPKqZtKC8devcWrhSLuUO.jpg
640,Diabolique,3435,2.97,"['Mystery', 'Thriller', 'Horror']",https://www.imdb.com/title/tt0116095,https://www.themoviedb.org/movie/10988,"The wife and mistress of a cruel school master collaborate in a carefully planned and executed scheme to murder him. The plan goes well until the body, which has been strategically dumped, disappears. The psychological strain starts to weigh on the two women when a retired police investigator begins looking into the man's disappearance on a whim.",1996,R,107 minutes,"['English', 'Italiano']",['Jeremiah S. Chechik'],"['Sharon Stone', 'Isabelle Adjani', 'Chazz Palminteri', 'Kathy Bates', 'Spalding Gray', 'Shirley Knight', 'Allen Garfield', 'Adam Hann-Byrd', 'Donal Logue', 'Diana Bellamy', 'J.J. Abrams', ""O'Neal Compton"", ""Bingo O'Malley"", 'Stephen Liska', 'Clea Lewis', 'Hank Stohl', 'James Kisicki', 'Kevin Vinay', 'Cory Pattak', 'Kate Young', 'Sophia Salguero', 'Zachary Mott', 'Jesse Sky Ross']",https://image.tmdb.org/t/p/original/ldLhsXf6sCFPi0FIIGgMT0njaZg.jpg
641,"Little Indian, Big City",117,2.47,"['Adventure', 'Drama', 'Family', 'Comedy']",https://www.imdb.com/title/tt0111543,https://www.themoviedb.org/movie/11479,"Stephen, an international trader, tracks down his ex-wife Patricia in some Amazonian backwater. He needs her consent to a divorce so that he can marry Charlotte. Unfortunately, he discovers a son he didn’t know he had – Mimi-Siku. The young jungle boy yearns to see Paris so Stephen reluctantly agrees to take him back home with him for a few days. How will Mimi-Siku react to life in the great metropolis?",1994,PG,90 minutes,"['Français', 'Pусский']",['Hervé Palud'],"['Thierry Lhermitte', 'Patrick Timsit', 'Ludwig Briand', 'Miou-Miou', 'Arielle Dombasle', 'Sonia Vollereaux', 'Tolsty', 'Jackie Berroyer', 'Marc de Jonge', 'Louba Guertchikoff', 'Philippe Bruneau', 'Dominique Besnehard', 'Cheik Doukouré', 'Marie-Charlotte Leclaire', 'Olga Jirouskova', 'Chick Ortega', 'Paco Portero', 'Sonia Lezinska', 'Marc Brunet', 'Olivier Hémon', 'Thierry Desroses', 'Katja Weitzenböck', 'Feliciano Tello Rossi', 'Maurice Illouz', 'Suzy Marquis', 'Carlos Reyes', 'Richard Holzle', 'Christian Roy', 'Jean-Pierre Richette', 'Pauline Pinsolle', 'Stanley Zana', 'Gaston Dolle', 'Louis Becker']",https://image.tmdb.org/t/p/original/fxSRvXYp0iPKUaKQ3gsj8xmgdHI.jpg
642,Roula,14,1.93,"['Romance', 'Drama']",https://www.imdb.com/title/tt0117517,https://www.themoviedb.org/movie/398959,"Troubled Roula finds herself drawn to Leon, an author of children's books who has suffered an enormous emotional and creative blockage ever since his wife died in a motorcycle accident two years before. Leon has only his 12-year-old daughter Tanja to keep him company. As romance blooms between Leon and Roula, his daughter approves. Unfortunately, Roula is carrying heavy emotional baggage stemming from the incest she suffered at the hands of her father.",1995,,97 minutes,['Deutsch'],['Martin Enlen'],"['Anica Dobra', 'Martin Umbach', 'Tina Hamperl', 'Ernst Jacobi', 'Felicitas Grimm-Luck', 'Irene Hagensby', 'Rosa Greve', 'Birgit Thøt Jensen', 'Julia Burger', 'Ingeborg Nees', 'Gerhard Nörr', 'Jan Jensen', 'Tom Schmidt']",https://image.tmdb.org/t/p/original/h4NIif3mtWcAPgGwxTHKpADyrhM.jpg
643,Peanuts – Die Bank zahlt alles,28,2.39,['Comedy'],https://www.imdb.com/title/tt0117312,https://www.themoviedb.org/movie/287305,,1996,,,[''],['Carlo Rola'],"['Ulrich Mühe', 'Iris Berben', 'Marita Marschall', 'Rufus Beck', 'Rüdiger Vogler', 'Sonja Kirchberger', 'Traugott Buhre', 'Hans-Michael Rehberg', 'Ralf Richter', 'Heinz Schenk', 'Nele Mueller-Stöfen']",
644,Happy Weekend,21,2.48,['Comedy'],https://www.imdb.com/title/tt0116485,https://www.themoviedb.org/movie/339428,"The young policeman Joachim Krippo likes to occasionally share his bed with a nice married couple. When he is supposed to be guarding the criminal Engel Potraske during a court appearance, the dangerous Engel manages a spectacular escape, but departs minus a toe! Krippo is subsequently suspended from his duties and put with other police officers under the care of an elderly police psychologist. Krippo's professional set-backs are followed by private ones: his grandad - who was actually being well looked-after in an old people's home - is dropped off at his place because the payments due have not been made. He tries to get his grandad out of the flat by pairing him off with the police psychologist. But, in the critical moment, Krippo lunges for the bait himself. At least, this means that he will be discharged from the psychograph tests as being fit for service again...",1996,,,['Deutsch'],['Ed Herzog'],"['Erik Goertz', 'Anton Rattinger', 'Dieter Wardetzky', 'Isabel Trimborn', 'Ralf Richter', 'Ellen Umlauf', 'Jörg Friedrich']",https://image.tmdb.org/t/p/original/ukUJ9wgIs2t4RkP2OjxQ32tibVs.jpg
645,Nelly and Monsieur Arnaud,339,3.65,"['Drama', 'Romance']",https://www.imdb.com/title/tt0113947,https://www.themoviedb.org/movie/12652,"Nelly leaves her lazy, unemployed husband to work for retired judge Mr Arnaud, forty years her senior, after he offers to clear her bills for her. While she types his memoirs the two develop a close friendship, but Arnaud becomes jealous when Nelly begins dating his good-looking young publisher.",1995,,106 minutes,['Français'],['Claude Sautet'],"['Emmanuelle Béart', 'Michel Serrault', 'Claire Nadeau', 'Françoise Brion', 'Michael Lonsdale', 'Jean-Hugues Anglade', 'Michèle Laroque', 'Jean-Pierre Lorit', 'Michel Albertini', 'Coraly Zahonero', 'Graziella Delerm', 'Olivier Pajot', 'Alexandre Chappuis', 'Charles Berling', 'Judith Vittet', 'Karine Foviau']",https://image.tmdb.org/t/p/original/evGlZtheDf2sDZZA5Vg8RzgES02.jpg
646,,,,[],,,,,,,,,,
647,Courage Under Fire,8953,3.52,"['Drama', 'Thriller', 'Mystery', 'War']",https://www.imdb.com/title/tt0115956,https://www.themoviedb.org/movie/10684,"A US Army officer, who made a ""friendly fire"" mistake that was covered up, has been reassigned to a desk job. He is tasked to investigate a female chopper commander's worthiness to be awarded the Medal of Honor. At first all seems in order. But then he begins to notice inconsistencies between the testimonies of the witnesses...",1996,R,116 minutes,['English'],['Edward Zwick'],"['Denzel Washington', 'Meg Ryan', 'Lou Diamond Phillips', 'Matt Damon', 'Michael Moriarty', 'Michole Briana White', 'Bronson Pinchot', 'Amy Hathaway', 'Diane Baker', 'Seth Gilliam', 'Regina Taylor', 'Scott Glenn', 'Sean Astin', 'Sean Patrick Thomas', 'Zeljko Ivanek', 'Tim Guinee', 'Tim Ransom', 'Ned Vaughn', 'Manny Pérez', 'David McSwain', 'Korey Coleman', 'Armand Darrius', 'Mark Adair-Rios', 'Ken Jenkins', 'Kathleen Widdoes', 'Robert Brent Lappin', 'Jack Watkins', 'Benjamin Bryant']",https://image.tmdb.org/t/p/original/51Mr7maI9JaE3pY2CeUSZHTdRas.jpg
648,Mission: Impossible,48382,3.42,"['Adventure', 'Action', 'Thriller']",https://www.imdb.com/title/tt0117060,https://www.themoviedb.org/movie/954,"When Ethan Hunt, the leader of a crack espionage team whose perilous operation has gone awry with no explanation, discovers that a mole has penetrated the CIA, he's surprised to learn that he's the No. 1 suspect. To clear his name, Hunt now must ferret out the real double agent and, in the process, even the score.",1996,PG-13,110 minutes,"['English', 'Français', 'Český']",['Brian De Palma'],"['Tom Cruise', 'Jon Voight', 'Emmanuelle Béart', 'Henry Czerny', 'Jean Reno', 'Ving Rhames', 'Kristin Scott Thomas', 'Vanessa Redgrave', 'Ingeborga Dapkūnaitė', 'Valentina Yakunina', 'Marek Vašut', 'Nathan Osgood', 'John McLaughlin', 'Rolf Saxon', 'Karel Dobrý', 'Andreas Wisniewski', 'David Shaeffer', 'Rudolf Pechan', 'Gaston Šubert', 'Ricco Ross', 'Mark Houghton', 'Bob Friend', 'Annabel Mullion', 'Garrick Hagon', 'Jiřina Třebická', 'Andrzej Borkowski', 'Maya Dokic', 'Sam Douglas', 'Olegar Fedoro', 'Carmela Marner', 'Mimi Potworowska', 'David Schneider', 'Helen Lindsay', 'Pat Starr', 'Richard D. Sharp', 'Randall Paul', 'Sue Doucette', 'Graydon Gould', 'Tony Vogel', 'Michael Rogers', 'Laura Brook', 'Morgan Deare', 'David Phelan', 'Melissa Knatchbull', 'Emilio Estevez', 'Marcel Iureș', 'Ion Caramitru', 'Dale Dye', 'Keith Campbell', 'Michael Cella', 'Harry Fielder', 'Toby Hinson', 'John Knoll', 'Paul Markham', 'Tina Simmons']",https://image.tmdb.org/t/p/original/sra8XnL96OyLHENcglmZJg6HA8z.jpg
649,Cold Fever,149,3.72,"['Drama', 'Comedy']",https://www.imdb.com/title/tt0109028,https://www.themoviedb.org/movie/68445,A Japanese businessman travels to Iceland and has a series of misadventures while venturing to a remote area to perform a traditional burial ritual where his parents died several years back.,1995,,85 minutes,"['English', 'Íslenska', '日本語', 'Deutsch']",['Fridrik Thor Fridriksson'],"['Masatoshi Nagase', 'Lili Taylor', 'Fisher Stevens', 'Gísli Halldórsson', 'Seijun Suzuki', 'Hiromasa Shimada', 'Masayuki Sasaki', 'Laura Hughes', 'Taizô Mizumura']",https://image.tmdb.org/t/p/original/qGJxeY9lL7LEHXb85o5xABXJ4Hu.jpg
650,Moll Flanders,1495,3.46,"['Drama', 'Romance']",https://www.imdb.com/title/tt0117071,https://www.themoviedb.org/movie/18989,"The daughter of a thief, young Moll is placed in the care of a nunnery after the execution of her mother. However, the actions of an abusive priest lead Moll to rebel as a teenager, escaping to the dangerous streets of London. Further misfortunes drive her to accept a job as a prostitute from the conniving Mrs. Allworthy. It is there that Moll first meets Hibble, who is working as Allworthy's servant but takes a special interest in the young woman's well-being. With his help, she retains hope for the future, ultimately falling in love with an unconventional artist who promises the possibility of romantic happiness.",1996,PG-13,123 minutes,['English'],['Pen Densham'],"['Robin Wright', 'Morgan Freeman', 'Stockard Channing', 'John Lynch', 'Brenda Fricker', 'Geraldine James', 'Jim Sheridan', 'Aisling Corcoran', 'Jeremy Brett', 'Britta Smith', 'Cathy Murphy', 'Emma McIvor', 'Maria Doyle Kennedy', 'Ger Ryan', 'Harry Towb', 'Alan Stanford', 'Eileen McCloskey', 'Nicola Teehan', 'Chris Curran', ""Rynagh O'Grady"", 'Maria Hayden', 'Janet Moran', 'Kieran Hurley', 'Mary McEvoy']",https://image.tmdb.org/t/p/original/m6Si2vwNCorETZape82t6iuxTj3.jpg
651,The Superwife,56,2.48,['Comedy'],https://www.imdb.com/title/tt0117788,https://www.themoviedb.org/movie/10801,,1996,,86 minutes,['Deutsch'],['Sönke Wortmann'],"['Veronica Ferres', 'Til Schweiger', 'Joachim Król', 'Liselotte Pulver', 'Thomas Heinze', 'Richy Müller', 'Maren Kroymann', 'Esther Schweins', 'Armin Rohde', 'Heiner Lauterbach', 'Jonathan Beck', 'Marco Bretscher-Coschignano', 'Arabella Kiesbauer', 'Burghart Klaußner', 'Anya Hoffmann', 'Pierre Sanoussi-Bliss', 'Christiane Blumhoff', 'Johann von Bülow', 'Hera Lind']",
652,301/302,92,3.09,"['Horror', 'Mystery', 'Thriller']",https://www.imdb.com/title/tt0112257,https://www.themoviedb.org/movie/54285,"Two obsessive-compulsives, a chef and an anorexic writer, are neighbors in an apartment building. The chef (301) tries to entice her neighbor to eat with fabulous meals. The writer (302) refuses to eat, and this refusal begins a turbulent relationship that forces both women to delve into their pasts of torment.",1995,,100 minutes,['한국어/조선말'],['Park Cheol-su'],,https://image.tmdb.org/t/p/original/8ZNGbL8dLdyXmmEdIwwMzy2eOqS.jpg
653,DragonHeart,17470,3.22,"['Fantasy', 'Action', 'Adventure', 'Drama']",https://www.imdb.com/title/tt0116136,https://www.themoviedb.org/movie/8840,"In an ancient time when majestic fire-breathers soared through the skies, a knight named Bowen comes face to face and heart to heart with the last dragon on Earth, Draco. Taking up arms to suppress a tyrant king, Bowen soon realizes his task will be harder than he'd imagined: If he kills the king, Draco will die as well.",1996,PG-13,103 minutes,['English'],['Rob Cohen'],"['Dennis Quaid', 'Sean Connery', 'David Thewlis', 'Dina Meyer', 'Pete Postlethwaite', 'Jason Isaacs', 'Brian Thompson', 'Julie Christie', 'Lee Oakes', 'Wolf Christian', ""Terry O'Neill"", 'Peter Hric', 'Eva Vejmělková', 'Milan Bahul', 'Sandra Kovacicova', 'Kyle Cohen', 'Thom Baker', 'John Gielgud', 'Buddy Quaid']",https://image.tmdb.org/t/p/original/9pNnSckOTQLQ5crNawV8guuHTqY.jpg
654,And Nobody Weeps For Me,19,2.97,['Drama'],https://www.imdb.com/title/tt0118026,https://www.themoviedb.org/movie/278978,,1996,,102 minutes,['Deutsch'],['Joseph Vilsmaier'],"['Peter Ketnath', 'Nina Hoss', 'Steffen Schroeder', 'Andreas Nickl', 'Monika Bujinski', 'Susanna Wellenbrink', 'Thomas Anzenhofer', 'Tina Engel', 'Monika Manz', 'Monika Baumgartner', 'Heide Simon', 'Burghart Klaußner', 'Barbara Weinzierl', 'Wilfried Labmeier', 'Regine Hackethal', 'Sarah Camp', 'Gerd Anthoff', 'Jürgen Tonkel', 'Wolfgang Maria Bauer', 'Oldřich Slavík', 'Michael Stippel', 'Michael Schönborn', 'Herbert Rhom', 'Petra Berndt', 'Günter Grünwald', 'Werner Schnitzer', 'Evelyn Engleder', 'Werner Rom', 'Lena Lessing', 'Peter Rühring', 'Franjo Marinčić', 'Milan Šteindler', 'Norbert Heckner', 'Janina Vilsmaier', 'Viktorie Knotková', 'Josefina Vilsmaier']",
655,My Mother's Courage,21,2.38,"['Drama', 'History']",https://www.imdb.com/title/tt0117117,https://www.themoviedb.org/movie/124625,"The deportation of 4000 Jews from Budapest to Auschwitz in July 1944, as told by George Tabori, and how the narrator’s mother escaped it, owing to coincidence, courage and some help from where you’d least expect it.",1995,,93 minutes,"['English', 'Deutsch']",['Michael Verhoeven'],"['George Tabori', 'Pauline Collins', 'Ulrich Tukur', 'Heribert Sasse', 'Buddy Elias', 'Eddi Arent', 'Robert Giggenbach', 'Simon Verhoeven', 'Wolfgang Gasser', 'Peter Mohrdieck', 'Peter Radtke']",https://image.tmdb.org/t/p/original/8MGJxdtOirqdLQV1H5aCSTuiD9F.jpg
656,Eddie,1321,2.87,"['Action', 'Comedy']",https://www.imdb.com/title/tt0116168,https://www.themoviedb.org/movie/11107,"Eddie is a New York limo driver and a fanatical follower of the New York Knicks professional basketball team. The team is struggling with a mediocre record when, in mid-season, ""Wild Bill"" Burgess, the new owner, as a public relations gimmick, stages an 'honorary coach' contest, which Eddie wins. The fans love it, so ""Wild Bill"" fires the coach and hires her. She takes the bunch of overpaid prima",1996,PG-13,100 minutes,['English'],['Steve Rash'],"['Whoopi Goldberg', 'Frank Langella', 'Dennis Farina', 'Richard Jenkins', 'Lisa Ann Walter', 'John Benjamin Hickey', 'Troy Byer', 'John Salley', 'Rick Fox', 'Malik Sealy', 'John Starks', 'Mark Jackson', 'Greg Ostertag', 'Marv Albert', 'Chris Berman', 'Aasif Mandvi', 'Isiah Whitlock Jr.', 'Walt Frazier', 'Rudolph Giuliani', 'Ed Koch', 'Donald Trump', 'George O. Gore II', 'Alexandra Adi', 'Spud Webb', ""Glenn 'Doc' Rivers"", 'Vlade Divac', 'Corie Blount', 'Cedric Ceballos', 'Anthony Miller', 'Nick Van Exel', 'Anthony Mason', 'Herb Williams', 'Marc Blucas', 'John DiMaggio', 'Fabio', 'David Letterman', 'Jerry Seinfeld', 'Dennis Rodman', 'Danny Manning', 'Gary Payton']",https://image.tmdb.org/t/p/original/hpP2NfkfXN9K6WGOWKt8zRq87Xx.jpg
